Name	CMP	P/E	Market Cap	Div Yield %	NP Qtr	Qtr Profit %	Sales Qtr	Qtr Sales %	ROCE %	PAT Ann
Kotak Mahindra Bank	1357.02522	73.71353998	-366721.9454	0.947208643	-6661.315769	31.08847347	-46112.63147	17.14533205	10.25629724	-18915.8929
Avenue Supermarts	1335.175309	74.3438545	-383445.8831	0.941979352	-6903.546707	31.25682449	-47914.06253	17.1894401	10.04046771	-19673.62781
UltraTech Cement	1313.325397	74.97416903	-400169.8208	0.93675006	-7145.777646	31.42517551	-49715.49359	17.23354814	9.824638175	-20431.36273
Titan Company	1291.475486	75.60448355	-416893.7584	0.931520768	-7388.008584	31.59352653	-51516.92465	17.27765618	9.608808643	-21189.09764
Adani Ports	1269.625575	76.23479808	-433617.6961	0.926291477	-7630.239522	31.76187755	-53318.3557	17.32176423	9.392979112	-21946.83256
Power Grid Corporation	1247.775664	76.86511261	-450341.6338	0.921062185	-7872.470461	31.93022857	-55119.78676	17.36587227	9.17714958	-22704.56748
Coal India	1225.925753	77.49542713	-467065.5715	0.915832893	-8114.701399	32.09857959	-56921.21782	17.40998031	8.961320048	-23462.30239
Tata Steel	1204.075842	78.12574166	-483789.5091	0.910603601	-8356.932337	32.26693061	-58722.64888	17.45408836	8.745490516	-24220.03731
JSW Steel	1182.22593	78.75605618	-500513.4468	0.90537431	-8599.163275	32.43528163	-60524.07994	17.4981964	8.529660984	-24977.77222
HDFC Life Insurance	1160.376019	79.38637071	-517237.3845	0.900145018	-8841.394214	32.60363265	-62325.511	17.54230444	8.313831453	-25735.50714
Tech Mahindra	1138.526108	80.01668523	-533961.3221	0.894915726	-9083.625152	32.77198367	-64126.94205	17.58641248	8.098001921	-26493.24205
SBI Life Insurance	1116.676197	80.64699976	-550685.2598	0.889686435	-9325.85609	32.94033469	-65928.37311	17.63052053	7.882172389	-27250.97697
Grasim Industries	1094.826286	81.27731429	-567409.1975	0.884457143	-9568.087029	33.10868571	-67729.80417	17.67462857	7.666342857	-28008.71189
Wipro	1072.976375	81.90762881	-584133.1352	0.879227851	-9810.317967	33.27703673	-69531.23523	17.71873661	7.450513325	-28766.4468
Divi's Laboratories	1051.126463	82.53794334	-600857.0728	0.873998559	-10052.54891	33.44538776	-71332.66629	17.76284466	7.234683794	-29524.18172
Hero MotoCorp	1029.276552	83.16825786	-617581.0105	0.868769268	-10294.77984	33.61373878	-73134.09735	17.8069527	7.018854262	-30281.91663
Cipla	1007.426641	83.79857239	-634304.9482	0.863539976	-10537.01078	33.7820898	-74935.5284	17.85106074	6.80302473	-31039.65155
Britannia Industries	985.5767299	84.42888691	-651028.8858	0.858310684	-10779.24172	33.95044082	-76736.95946	17.89516879	6.587195198	-31797.38646
Dabur India	963.7268187	85.05920144	-667752.8235	0.853081393	-11021.47266	34.11879184	-78538.39052	17.93927683	6.371365666	-32555.12138
Adani Green Energy	941.8769076	85.68951597	-684476.7612	0.847852101	-11263.7036	34.28714286	-80339.82158	17.98338487	6.155536134	-33312.8563
SBI Cards & Payment	920.0269964	86.31983049	-701200.6989	0.842622809	-11505.93453	34.45549388	-82141.25264	18.02749292	5.939706603	-34070.59121
Bajaj Finserv	898.1770852	86.95014502	-717924.6365	0.837393517	-11748.16547	34.6238449	-83942.6837	18.07160096	5.723877071	-34828.32613
Ambuja Cements	876.3271741	87.58045954	-734648.5742	0.832164226	-11990.39641	34.79219592	-85744.11475	18.115709	5.508047539	-35586.06104
Dr. Reddy's Lab	854.4772629	88.21077407	-751372.5119	0.826934934	-12232.62735	34.96054694	-87545.54581	18.15981705	5.292218007	-36343.79596
Vedanta	832.6273517	88.8410886	-768096.4496	0.821705642	-12474.85829	35.12889796	-89346.97687	18.20392509	5.076388475	-37101.53087
Apollo Hospitals	810.7774406	89.47140312	-784820.3872	0.816476351	-12717.08923	35.29724898	-91148.40793	18.24803313	4.860558944	-37859.26579
Bank of Baroda	788.9275294	90.10171765	-801544.3249	0.811247059	-12959.32016	35.4656	-92949.83899	18.29214118	4.644729412	-38617.00071
Eicher Motors	767.0776182	90.73203217	-818268.2626	0.806017767	-13201.5511	35.63395102	-94751.27005	18.33624922	4.42889988	-39374.73562
Name	CMP	P/E	Market Cap	Div Yield %	NP Qtr	Qtr Profit %	Sales Qtr	Qtr Sales %	ROCE %	PAT Ann
Reliance Industries	745.2277071	91.3623467	-834992.2002	0.800788475	-13443.78204	35.80230204	-96552.7011	18.38035726	4.213070348	-40132.47054
TCS	723.3777959	91.99266122	-851716.1379	0.795559184	-13686.01298	35.97065306	-98354.13216	18.42446531	3.997240816	-40890.20545
HDFC Bank	701.5278848	92.62297575	-868440.0756	0.790329892	-13928.24392	36.13900408	-100155.5632	18.46857335	3.781411285	-41647.94037
Bharti Airtel	679.6779736	93.25329028	-885164.0133	0.7851006	-14170.47486	36.3073551	-101956.9943	18.51268139	3.565581753	-42405.67528
ICICI Bank	657.8280624	93.8836048	-901887.9509	0.779871309	-14412.70579	36.47570612	-103758.4253	18.55678944	3.349752221	-43163.4102
St Bk of India	635.9781513	94.51391933	-918611.8886	0.774642017	-14654.93673	36.64405714	-105559.8564	18.60089748	3.133922689	-43921.14512
Life Insurance	614.1282401	95.14423385	-935335.8263	0.769412725	-14897.16767	36.81240816	-107361.2875	18.64500552	2.918093157	-44678.88003
Infosys	592.2783289	95.77454838	-952059.7639	0.764183433	-15139.39861	36.98075918	-109162.7185	18.68911357	2.702263625	-45436.61495
Hind. Unilever	570.4284178	96.40486291	-968783.7016	0.758954142	-15381.62955	37.1491102	-110964.1496	18.73322161	2.486434094	-46194.34986
ITC	548.5785066	97.03517743	-985507.6393	0.75372485	-15623.86049	37.31746122	-112765.5806	18.77732965	2.270604562	-46952.08478
Larsen & Toubro	526.7285954	97.66549196	-1002231.577	0.748495558	-15866.09142	37.48581224	-114567.0117	18.8214377	2.05477503	-47709.81969
Bajaj Finance	504.8786843	98.29580648	-1018955.515	0.743266267	-16108.32236	37.65416327	-116368.4427	18.86554574	1.838945498	-48467.55461
Maruti Suzuki	483.0287731	98.92612101	-1035679.452	0.738036975	-16350.5533	37.82251429	-118169.8738	18.90965378	1.623115966	-49225.28953
HCL Technologies	461.1788619	99.55643553	-1052403.39	0.732807683	-16592.78424	37.99086531	-119971.3049	18.95376182	1.407286435	-49983.02444
Adani Enterprises	439.3289508	100.1867501	-1069127.328	0.727578391	-16835.01518	38.15921633	-121772.7359	18.99786987	1.191456903	-50740.75936
Hindustan Aeronautics	417.4790396	100.8170646	-1085851.265	0.7223491	-17077.24612	38.32756735	-123574.167	19.04197791	0.975627371	-51498.49427
M & M	395.6291285	101.4473791	-1102575.203	0.717119808	-17319.47705	38.49591837	-125375.598	19.08608595	0.759797839	-52256.22919
Axis Bank	373.7792173	102.0776936	-1119299.141	0.711890516	-17561.70799	38.66426939	-127177.0291	19.130194	0.543968307	-53013.9641
Sun Pharma. Inds.	351.9293061	102.7080082	-1136023.078	0.706661224	-17803.93893	38.83262041	-128978.4602	19.17430204	0.328138776	-53771.69902
Tata Motors	330.079395	103.3383227	-1152747.016	0.701431933	-18046.16987	39.00097143	-130779.8912	19.21841008	0.112309244	-54529.43394
NTPC	308.2294838	103.9686372	-1169470.954	0.696202641	-18288.40081	39.16932245	-132581.3223	19.26251813	-0.103520288	-55287.16885
ONGC	286.3795726	104.5989517	-1186194.891	0.690973349	-18530.63175	39.33767347	-134382.7533	19.30662617	-0.31934982	-56044.90377
Kotak Mahindra Bank	264.5296615	105.2292663	-1202918.829	0.685744058	-18772.86268	39.50602449	-136184.1844	19.35073421	-0.535179352	-56802.63868
Avenue Supermarts	242.6797503	105.8595808	-1219642.767	0.680514766	-19015.09362	39.67437551	-137985.6154	19.39484226	-0.751008884	-57560.3736
UltraTech Cement	220.8298391	106.4898953	-1236366.704	0.675285474	-19257.32456	39.84272653	-139787.0465	19.4389503	-0.966838415	-58318.10851
Titan Company	198.979928	107.1202098	-1253090.642	0.670056182	-19499.5555	40.01107755	-141588.4776	19.48305834	-1.182667947	-59075.84343
Adani Ports	177.1300168	107.7505244	-1269814.58	0.664826891	-19741.78644	40.17942857	-143389.9086	19.52716639	-1.398497479	-59833.57835
Power Grid Corporation	155.2801056	108.3808389	-1286538.517	0.659597599	-19984.01738	40.34777959	-145191.3397	19.57127443	-1.614327011	-60591.31326
Coal India	133.4301945	109.0111534	-1303262.455	0.654368307	-20226.24831	40.51613061	-146992.7707	19.61538247	-1.830156543	-61349.04818
Tata Steel	111.5802833	109.6414679	-1319986.393	0.649139016	-20468.47925	40.68448163	-148794.2018	19.65949052	-2.045986074	-62106.78309
JSW Steel	89.73037215	110.2717825	-1336710.33	0.643909724	-20710.71019	40.85283265	-150595.6329	19.70359856	-2.261815606	-62864.51801
HDFC Life Insurance	67.88046098	110.902097	-1353434.268	0.638680432	-20952.94113	41.02118367	-152397.0639	19.7477066	-2.477645138	-63622.25292
Tech Mahindra	46.03054982	111.5324115	-1370158.206	0.63345114	-21195.17207	41.18953469	-154198.495	19.79181465	-2.69347467	-64379.98784
SBI Life Insurance	24.18063866	112.1627261	-1386882.143	0.628221849	-21437.40301	41.35788571	-155999.926	19.83592269	-2.909304202	-65137.72276
Grasim Industries	2.330727491	112.7930406	-1403606.081	0.622992557	-21679.63394	41.52623673	-157801.3571	19.88003073	-3.125133733	-65895.45767
Wipro	-19.51918367	113.4233551	-1420330.019	0.617763265	-21921.86488	41.69458776	-159602.7881	19.92413878	-3.340963265	-66653.19259
Divi's Laboratories	-41.36909484	114.0536696	-1437053.956	0.612533974	-22164.09582	41.86293878	-161404.2192	19.96824682	-3.556792797	-67410.9275
Hero MotoCorp	-63.219006	114.6839842	-1453777.894	0.607304682	-22406.32676	42.0312898	-163205.6503	20.01235486	-3.772622329	-68168.66242
Cipla	-85.06891717	115.3142987	-1470501.832	0.60207539	-22648.5577	42.19964082	-165007.0813	20.05646291	-3.988451861	-68926.39733
Britannia Industries	-106.9188283	115.9446132	-1487225.769	0.596846098	-22890.78863	42.36799184	-166808.5124	20.10057095	-4.204281393	-69684.13225
Dabur India	-128.7687395	116.5749277	-1503949.707	0.591616807	-23133.01957	42.53634286	-168609.9434	20.14467899	-4.420110924	-70441.86717
Adani Green Energy	-150.6186507	117.2052423	-1520673.645	0.586387515	-23375.25051	42.70469388	-170411.3745	20.18878703	-4.635940456	-71199.60208
SBI Cards & Payment	-172.4685618	117.8355568	-1537397.582	0.581158223	-23617.48145	42.8730449	-172212.8056	20.23289508	-4.851769988	-71957.337
Bajaj Finserv	-194.318473	118.4658713	-1554121.52	0.575928932	-23859.71239	43.04139592	-174014.2366	20.27700312	-5.06759952	-72715.07191
Ambuja Cements	-216.1683842	119.0961858	-1570845.458	0.57069964	-24101.94333	43.20974694	-175815.6677	20.32111116	-5.283429052	-73472.80683
Dr. Reddy's Lab	-238.0182953	119.7265004	-1587569.395	0.565470348	-24344.17426	43.37809796	-177617.0987	20.36521921	-5.499258583	-74230.54175
Vedanta	-259.8682065	120.3568149	-1604293.333	0.560241056	-24586.4052	43.54644898	-179418.5298	20.40932725	-5.715088115	-74988.27666
Apollo Hospitals	-281.7181176	120.9871294	-1621017.271	0.555011765	-24828.63614	43.7148	-181219.9608	20.45343529	-5.930917647	-75746.01158
Bank of Baroda	-303.5680288	121.6174439	-1637741.208	0.549782473	-25070.86708	43.88315102	-183021.3919	20.49754334	-6.146747179	-76503.74649
Eicher Motors	-325.41794	122.2477585	-1654465.146	0.544553181	-25313.09802	44.05150204	-184822.823	20.54165138	-6.362576711	-77261.48141
Name	CMP	P/E	Market Cap	Div Yield %	NP Qtr	Qtr Profit %	Sales Qtr	Qtr Sales %	ROCE %	PAT Ann
Reliance Industries	-347.2678511	122.878073	-1671189.084	0.53932389	-25555.32896	44.21985306	-186624.254	20.58575942	-6.578406242	-78019.21632
TCS	-369.1177623	123.5083875	-1687913.022	0.534094598	-25797.55989	44.38820408	-188425.6851	20.62986747	-6.794235774	-78776.95124
HDFC Bank	-390.9676735	124.138702	-1704636.959	0.528865306	-26039.79083	44.5565551	-190227.1161	20.67397551	-7.010065306	-79534.68616
Bharti Airtel	-412.8175846	124.7690166	-1721360.897	0.523636014	-26282.02177	44.72490612	-192028.5472	20.71808355	-7.225894838	-80292.42107
ICICI Bank	-434.6674958	125.3993311	-1738084.835	0.518406723	-26524.25271	44.89325714	-193829.9783	20.7621916	-7.44172437	-81050.15599
St Bk of India	-456.517407	126.0296456	-1754808.772	0.513177431	-26766.48365	45.06160816	-195631.4093	20.80629964	-7.657553902	-81807.8909
Life Insurance	-478.3673181	126.6599601	-1771532.71	0.507948139	-27008.71459	45.22995918	-197432.8404	20.85040768	-7.873383433	-82565.62582
Infosys	-500.2172293	127.2902747	-1788256.648	0.502718848	-27250.94552	45.3983102	-199234.2714	20.89451573	-8.089212965	-83323.36073
Hind. Unilever	-522.0671405	127.9205892	-1804980.585	0.497489556	-27493.17646	45.56666122	-201035.7025	20.93862377	-8.305042497	-84081.09565
ITC	-543.9170516	128.5509037	-1821704.523	0.492260264	-27735.4074	45.73501224	-202837.1335	20.98273181	-8.520872029	-84838.83057
Larsen & Toubro	-565.7669628	129.1812182	-1838428.461	0.487030972	-27977.63834	45.90336327	-204638.5646	21.02683986	-8.736701561	-85596.56548
Bajaj Finance	-587.6168739	129.8115328	-1855152.398	0.481801681	-28219.86928	46.07171429	-206439.9957	21.0709479	-8.952531092	-86354.3004
Maruti Suzuki	-609.4667851	130.4418473	-1871876.336	0.476572389	-28462.10022	46.24006531	-208241.4267	21.11505594	-9.168360624	-87112.03531
HCL Technologies	-631.3166963	131.0721618	-1888600.274	0.471343097	-28704.33115	46.40841633	-210042.8578	21.15916399	-9.384190156	-87869.77023
Adani Enterprises	-653.1666074	131.7024764	-1905324.211	0.466113806	-28946.56209	46.57676735	-211844.2888	21.20327203	-9.600019688	-88627.50514
Hindustan Aeronautics	-675.0165186	132.3327909	-1922048.149	0.460884514	-29188.79303	46.74511837	-213645.7199	21.24738007	-9.81584922	-89385.24006
M & M	-696.8664298	132.9631054	-1938772.087	0.455655222	-29431.02397	46.91346939	-215447.151	21.29148812	-10.03167875	-90142.97498
Axis Bank	-718.7163409	133.5934199	-1955496.024	0.45042593	-29673.25491	47.08182041	-217248.582	21.33559616	-10.24750828	-90900.70989
Sun Pharma. Inds.	-740.5662521	134.2237345	-1972219.962	0.445196639	-29915.48585	47.25017143	-219050.0131	21.3797042	-10.46333782	-91658.44481
Tata Motors	-762.4161633	134.854049	-1988943.9	0.439967347	-30157.71678	47.41852245	-220851.4441	21.42381224	-10.67916735	-92416.17972
NTPC	-784.2660744	135.4843635	-2005667.837	0.434738055	-30399.94772	47.58687347	-222652.8752	21.46792029	-10.89499688	-93173.91464
ONGC	-806.1159856	136.114678	-2022391.775	0.429508764	-30642.17866	47.75522449	-224454.3062	21.51202833	-11.11082641	-93931.64955
Kotak Mahindra Bank	-827.9658968	136.7449926	-2039115.713	0.424279472	-30884.4096	47.92357551	-226255.7373	21.55613637	-11.32665594	-94689.38447
Avenue Supermarts	-849.8158079	137.3753071	-2055839.65	0.41905018	-31126.64054	48.09192653	-228057.1684	21.60024442	-11.54248547	-95447.11939
UltraTech Cement	-871.6657191	138.0056216	-2072563.588	0.413820888	-31368.87148	48.26027755	-229858.5994	21.64435246	-11.75831501	-96204.8543
Titan Company	-893.5156303	138.6359361	-2089287.526	0.408591597	-31611.10241	48.42862857	-231660.0305	21.6884605	-11.97414454	-96962.58922
Adani Ports	-915.3655414	139.2662507	-2106011.463	0.403362305	-31853.33335	48.59697959	-233461.4615	21.73256855	-12.18997407	-97720.32413
Power Grid Corporation	-937.2154526	139.8965652	-2122735.401	0.398133013	-32095.56429	48.76533061	-235262.8926	21.77667659	-12.4058036	-98478.05905
Coal India	-959.0653637	140.5268797	-2139459.339	0.392903721	-32337.79523	48.93368163	-237064.3237	21.82078463	-12.62163313	-99235.79396
Tata Steel	-980.9152749	141.1571942	-2156183.276	0.38767443	-32580.02617	49.10203265	-238865.7547	21.86489268	-12.83746267	-99993.52888
JSW Steel	-1002.765186	141.7875088	-2172907.214	0.382445138	-32822.2571	49.27038367	-240667.1858	21.90900072	-13.0532922	-100751.2638
HDFC Life Insurance	-1024.615097	142.4178233	-2189631.152	0.377215846	-33064.48804	49.43873469	-242468.6168	21.95310876	-13.26912173	-101508.9987
Tech Mahindra	-1046.465008	143.0481378	-2206355.089	0.371986555	-33306.71898	49.60708571	-244270.0479	21.99721681	-13.48495126	-102266.7336
SBI Life Insurance	-1068.31492	143.6784523	-2223079.027	0.366757263	-33548.94992	49.77543673	-246071.4789	22.04132485	-13.70078079	-103024.4685
Grasim Industries	-1090.164831	144.3087669	-2239802.965	0.361527971	-33791.18086	49.94378776	-247872.91	22.08543289	-13.91661032	-103782.2035
Wipro	-1112.014742	144.9390814	-2256526.902	0.356298679	-34033.4118	50.11213878	-249674.3411	22.12954094	-14.13243986	-104539.9384
Divi's Laboratories	-1133.864653	145.5693959	-2273250.84	0.351069388	-34275.64273	50.2804898	-251475.7721	22.17364898	-14.34826939	-105297.6733
Hero MotoCorp	-1155.714564	146.1997104	-2289974.778	0.345840096	-34517.87367	50.44884082	-253277.2032	22.21775702	-14.56409892	-106055.4082
Cipla	-1177.564475	146.830025	-2306698.715	0.340610804	-34760.10461	50.61719184	-255078.6342	22.26186507	-14.77992845	-106813.1431
Britannia Industries	-1199.414387	147.4603395	-2323422.653	0.335381513	-35002.33555	50.78554286	-256880.0653	22.30597311	-14.99575798	-107570.878
Dabur India	-1221.264298	148.090654	-2340146.591	0.330152221	-35244.56649	50.95389388	-258681.4964	22.35008115	-15.21158752	-108328.613
Adani Green Energy	-1243.114209	148.7209685	-2356870.528	0.324922929	-35486.79743	51.1222449	-260482.9274	22.3941892	-15.42741705	-109086.3479
SBI Cards & Payment	-1264.96412	149.3512831	-2373594.466	0.319693637	-35729.02836	51.29059592	-262284.3585	22.43829724	-15.64324658	-109844.0828
Bajaj Finserv	-1286.814031	149.9815976	-2390318.404	0.314464346	-35971.2593	51.45894694	-264085.7895	22.48240528	-15.85907611	-110601.8177
Ambuja Cements	-1308.663942	150.6119121	-2407042.341	0.309235054	-36213.49024	51.62729796	-265887.2206	22.52651333	-16.07490564	-111359.5526
Dr. Reddy's Lab	-1330.513854	151.2422267	-2423766.279	0.304005762	-36455.72118	51.79564898	-267688.6516	22.57062137	-16.29073517	-112117.2875
Vedanta	-1352.363765	151.8725412	-2440490.217	0.298776471	-36697.95212	51.964	-269490.0827	22.61472941	-16.50656471	-112875.0224
Apollo Hospitals	-1374.213676	152.5028557	-2457214.154	0.293547179	-36940.18306	52.13235102	-271291.5138	22.65883745	-16.72239424	-113632.7574
Bank of Baroda	-1396.063587	153.1331702	-2473938.092	0.288317887	-37182.41399	52.30070204	-273092.9448	22.7029455	-16.93822377	-114390.4923
Eicher Motors	-1417.913498	153.7634848	-2490662.03	0.283088595	-37424.64493	52.46905306	-274894.3759	22.74705354	-17.1540533	-115148.2272
Name	CMP	P/E	Market Cap	Div Yield %	NP Qtr	Qtr Profit %	Sales Qtr	Qtr Sales %	ROCE %	PAT Ann
